ÉQUIPEMENT,ORGANISATION,ANNÉE FRABRIQUÉ ,QUANTITÉ,,,,,
CHEVROLET EXPRESS CARRY-ALL TRUCK,ARMÉE CANADIENNE,2007,3,,,,,
CHEVROLET EXPRESS CARRY-ALL TRUCK,ARMÉE CANADIENNE,2008,17,,,,,
CHEVROLET EXPRESS CARRY-ALL TRUCK,ARMÉE CANADIENNE,2009,3,,,,,
CHEVROLET EXPRESS CARRY-ALL TRUCK,ARMÉE CANADIENNE,2010,5,,,,,
CHEVROLET EXPRESS CARRY-ALL TRUCK,ARMÉE CANADIENNE,2011,4,,,,,
CHEVROLET EXPRESS CARRY-ALL TRUCK,ARMÉE CANADIENNE,2015,2,,,,,
CHEVROLET EXPRESS CARRY-ALL TRUCK,ARMÉE CANADIENNE,2017,8,,,,,
CHEVROLET EXPRESS CUTAWAY VAN,ARMÉE CANADIENNE,2011,12,,,,,
CHEVROLET EXPRESS CUTAWAY VAN,ARMÉE CANADIENNE,2013,48,,,,,
CHEVROLET EXPRESS CUTAWAY VAN,ARMÉE CANADIENNE,2014,28,,,,,
CHEVROLET EXPRESS CUTAWAY VAN,ARMÉE CANADIENNE,2015,26,,,,,
CHEVROLET EXPRESS CUTAWAY VAN,ARMÉE CANADIENNE,2016,14,,,,,
CHEVROLET EXPRESS CUTAWAY VAN,ARMÉE CANADIENNE,2017,78,,,,,
CHEVROLET EXPRESS DELIVERY TRUCK,ARMÉE CANADIENNE,2006,3,,,,,
CHEVROLET EXPRESS MULTI-STOP TRUCK,ARMÉE CANADIENNE,2007,1,,,,,
CHEVROLET EXPRESS MULTI-STOP TRUCK,ARMÉE CANADIENNE,2009,8,,,,,
CHEVROLET EXPRESS MULTI-STOP TRUCK,ARMÉE CANADIENNE,2012,37,,,,,
CHEVROLET EXPRESS MULTI-STOP TRUCK,ARMÉE CANADIENNE,2013,1,,,,,
CHEVROLET EXPRESS PANEL TRUCK,ARMÉE CANADIENNE,2005,4,,,,,
CHEVROLET EXPRESS PANEL TRUCK,ARMÉE CANADIENNE,2007,1,,,,,
CHEVROLET EXPRESS PANEL TRUCK,ARMÉE CANADIENNE,2008,1,,,,,
CHEVROLET EXPRESS PANEL TRUCK,ARMÉE CANADIENNE,2009,6,,,,,
CHEVROLET EXPRESS PANEL TRUCK,ARMÉE CANADIENNE,2010,12,,,,,
CHEVROLET EXPRESS TRUCK,ARMÉE CANADIENNE,2016,4,,,,,
CHEVROLET EXPRESS VAN AWD 8 PAX,ARMÉE CANADIENNE,2012,10,,,,,
CHEVROLET EXPRESS VAN AWD 8 PAX,ARMÉE CANADIENNE,2013,14,,,,,
CHEVROLET EXPRESS VAN AWD 8 PAX,ARMÉE CANADIENNE,2014,10,,,,,
CHEVROLET IMPALA AUTO SEDAN,ARMÉE CANADIENNE,2008,2,,,,,
CHEVROLET IMPALA AUTO SEDAN,ARMÉE CANADIENNE,2010,1,,,,,
CHEVROLET IMPALA AUTO SEDAN,ARMÉE CANADIENNE,2011,1,,,,,
CHEVROLET IMPALA AUTO SEDAN,ARMÉE CANADIENNE,2013,3,,,,,
CHEVROLET MALIBU HYBRID SEDAN,ARMÉE CANADIENNE,2013,20,,,,,
CHEVROLET MALIBU SEDAN,ARMÉE CANADIENNE,2011,2,,,,,
CHEVROLET ORLANDO STATION WAGON,ARMÉE CANADIENNE,2014,41,,,,,
CHEVROLET SILVERADO CARGO TRUCK,ARMÉE CANADIENNE,2011,2,,,,,
CHEVROLET SILVERADO CARGO TRUCK,ARMÉE CANADIENNE,2013,10,,,,,
CHEVROLET SILVERADO CARGO TRUCK,ARMÉE CANADIENNE,2015,25,,,,,
CHEVROLET SILVERADO CARGO TRUCK,ARMÉE CANADIENNE,2016,1,,,,,
CHEVROLET SILVERADO EXTENDED CAB PICKUP,ARMÉE CANADIENNE,2013,2,,,,,
CHEVROLET SILVERADO EXTENDED CAB PICKUP,ARMÉE CANADIENNE,2016,1,,,,,
CHEVROLET SILVERADO EXTENDED CAB PICKUP 4X4,ARMÉE CANADIENNE,2011,1,,,,,
CHEVROLET SILVERADO EXTENDED CAB PICKUP 4X4,ARMÉE CANADIENNE,2013,2,,,,,
CHEVROLET SILVERADO HYBRID PICKUP 3/4T,ARMÉE CANADIENNE,2013,144,,,,,
CHEVROLET SILVERADO PICKUP,ARMÉE CANADIENNE,2010,3,,,,,
CHEVROLET SILVERADO PICKUP,ARMÉE CANADIENNE,2012,1,,,,,
CHEVROLET SILVERADO PICKUP,ARMÉE CANADIENNE,2013,13,,,,,
CHEVROLET SILVERADO PICKUP,ARMÉE CANADIENNE,2014,18,,,,,
CHEVROLET SILVERADO PICKUP 1 1/2T 4X4,ARMÉE CANADIENNE,2015,2,,,,,
CHEVROLET SILVERADO PICKUP 1 1/2T 4X4,ARMÉE CANADIENNE,2016,6,,,,,
CHEVROLET SILVERADO PICKUP 1 3/4T,ARMÉE CANADIENNE,2013,2,,,,,
CHEVROLET SILVERADO PICKUP 1/2T,ARMÉE CANADIENNE,2013,2,,,,,
CHEVROLET SILVERADO PICKUP 1/2T,ARMÉE CANADIENNE,2015,1,,,,,
CHEVROLET SILVERADO PICKUP 1T 4X2,ARMÉE CANADIENNE,2011,1,,,,,
CHEVROLET SILVERADO PICKUP 3/4T,ARMÉE CANADIENNE,2013,5,,,,,
CHEVROLET SILVERADO PICKUP 3/4T 4X2,ARMÉE CANADIENNE,2011,1,,,,,
